"ORDE,2020-10-16 19:45:34"
"STNY,2020-12-11 19:31:49"
"WCFL,2020-12-30 20:35:41"
"WCGA,2020-10-02 20:19:17"
"WCIL,2020-10-09 19:03:03"
"WCIN,2021-08-17 18:38:38"
"WCKY,2021-08-17 18:40:49"
"WCMA,2020-08-24 19:46:30"
"WCMD,2020-08-17 19:40:53"
"WCME,2020-08-17 19:27:55"
"WCMI,2020-09-21 18:02:46"
"WCNH,2020-08-17 19:28:12"
"WCNJ,2020-08-31 20:05:02"
"STMA,2021-02-08 21:15:12"
"CTTN,2021-08-27 19:57:08"
"CWMN,2021-08-27 19:38:49"
"FFMD,2021-09-10 19:33:26"
"FAAZ,2021-09-10 19:37:02"
"FTMD,2021-09-10 19:31:47"
"CWMD,2021-09-10 19:27:32"
